thread1,thread2
0.001101463,0.001095889
0.002091389,0.002097092
0.003081407,0.003094685
0.004086852,0.004094166
0.005084833,0.00509374
0.00608224,0.006093611
0.007083907,0.007093426
0.008086703000000001,0.008093777
0.009081796,0.009093037
0.010080166,0.010093537
0.011079352,0.011093407
0.012078463,0.012093314
0.013082666,0.013092611
0.014081518,0.014092981
0.015081426,0.015093092
0.016080407,0.016092851
0.017082537,0.017093259
0.018081926,0.018093389
0.019084055,0.019093185
0.020085037,0.020093111
0.021082203,0.021093426
0.02208237,0.022093092
0.023081703,0.023093055
0.024082296,0.024092963
0.025081685,0.025092407
0.026085296,0.026092611
0.027082296,0.027092666
0.028082518,0.028092722
0.02908237,0.02909287
0.030083889,0.030092777
0.031081018,0.031092518
0.032081444,0.032093574
0.033081259,0.033092592
0.034081592,0.034092129
0.035081907,0.03509287
0.036081963,0.036092611
0.037082185,0.03709287
0.038081907,0.038092981
0.039081963,0.039092444
0.040081889,0.04009274
0.041082203,0.041092759
0.042082814,0.04209274
0.043081611,0.043092259
0.044085518,0.044092944
0.045082777,0.045093
0.046081277,0.046093537
0.047082648,0.047093018
0.048081963,0.048093444
0.049081555,0.049093388
0.050084944,0.05009274
0.051081389,0.051092666
0.052081592,0.052092981
0.0530815,0.053092888
0.054080907,0.054092703
0.055081592,0.055093351
0.056084407,0.05609287
0.057081481,0.057092907
0.058081296,0.058092666
0.059081703,0.059092851
0.060082203,0.060093888
0.061081759,0.061092926
0.062086759,0.062093351
0.06308153699999999,0.063093074
0.064081629,0.064093018
0.065084481,0.065093277
0.066081944,0.06609235099999999
0.067081666,0.067092833
0.06808124,0.06809283300000001
0.06908101799999999,0.069092796
0.070084759,0.070096148
0.07108194399999999,0.071094351
0.072081296,0.07209338799999999
0.07308336999999999,0.073093037
0.074080722,0.074093111
0.075080314,0.07509294399999999
0.0760835,0.076093148
0.0770835,0.077093833
0.078082981,0.078093203
0.079083722,0.079093185
0.08008259199999999,0.08009316599999999
0.08108333299999999,0.081094018
0.082082814,0.082093166
0.083081944,0.083092981
0.084083592,0.08409314800000001
0.08508368500000001,0.085092074
0.08609164800000001,0.086093407
0.087090629,0.08709124
0.08808524,0.08809474
0.089082833,0.089091296
0.090086444,0.09008970299999999
0.091090277,0.09109020299999999
0.09208664799999999,0.092090888
0.09308327700000001,0.093089666
0.09408664799999999,0.094088888
0.095086185,0.09508894399999999
0.096085666,0.096088888
0.09708668500000001,0.097088944
0.098085518,0.098089074
0.099085481,0.099088722
0.100086166,0.100089537
0.101082574,0.10108937
0.102082518,0.102089129
0.103080889,0.103089314
0.104082148,0.10408924
0.10508037,0.105088833
0.106081407,0.106089166
0.107080426,0.107089074
0.108081907,0.108089203
0.109080463,0.109089092
0.1100815,0.110089333
0.111080148,0.111089111
0.112082203,0.112088833
0.113080444,0.113089314
0.114079981,0.114089222
0.115081092,0.11508937
0.116082314,0.116089314
0.117080889,0.117089129
0.118081889,0.118089018
0.119080407,0.119089185
0.120081814,0.120089129
0.121080166,0.121089111
0.122081148,0.122089185
0.123080574,0.123089092
0.12408174,0.124089277
0.125080259,0.125088944
0.12608124,0.126088944
0.127080703,0.127089148
0.128082666,0.128089129
0.129081166,0.129089277
0.130081944,0.130089111
0.131080518,0.131089092
0.132082259,0.132089166
0.133080851,0.133089129
0.134081055,0.134089074
0.135080463,0.135089277
0.136081314,0.136089222
0.137080259,0.137088629
0.138082092,0.138089092
0.139080407,0.139089018
0.140081833,0.140089018
0.141080537,0.141089166
0.142082203,0.142089296
0.143080722,0.143089018
0.144082463,0.144089111
0.145080092,0.145089148
0.146081926,0.146088963
0.147080277,0.147089018
0.148082074,0.148089148
0.149080333,0.149089055
0.150082537,0.150089185
0.151080351,0.151089092
0.152081907,0.15208924
0.153080685,0.153088944
0.154081777,0.154089166
0.155080426,0.155089111
0.156081833,0.15608924
0.157080426,0.157089148
0.158081407,0.158089129
0.159080351,0.159089166
0.160081666,0.160088833
0.161080185,0.161089296
0.162079944,0.162089055
0.16308187,0.163089037
0.16408187,0.164089314
0.165080629,0.165089111
0.166081277,0.166089296
0.167080574,0.167088981
0.168081833,0.168089259
0.169080833,0.169088944
0.170082259,0.170089129
0.171080648,0.171089314
0.172082388,0.172089018
0.173080314,0.17308887
0.174082796,0.174089092
0.175080518,0.175089074
0.176081796,0.176089296
0.177080851,0.177089111
0.178082296,0.17808937
0.179080463,0.179089018
0.180082166,0.180089129
0.18108024,0.181089018
0.182082426,0.182089129
0.183080203,0.183089129
0.184082055,0.184089185
0.185080277,0.18508887
0.186081888,0.186089055
0.187080333,0.187089
0.188081851,0.188089703
0.189080444,0.189092
0.190082555,0.190092037
0.191084629,0.191092222
0.192082407,0.192091203
0.193085333,0.193092314
0.194085926,0.194091203
0.195086666,0.195090648
0.196085611,0.196090925
0.197088537,0.19708974
0.19808624,0.198089592
0.199080574,0.19908924
0.200081148,0.200089888
0.201082148,0.201089055
0.202080851,0.202088851
0.203081148,0.203088925
0.204080388,0.204088814
0.205082444,0.205088833
0.206080351,0.206089
0.207081926,0.207088981
0.208080611,0.208089037
0.209081888,0.209088833
0.210080277,0.210088944
0.211082166,0.211088962
0.212081037,0.212088851
0.213082037,0.213088796
0.214080481,0.21408887
0.215081888,0.215088833
0.21608087,0.21608887
0.217082648,0.21708874
0.218080444,0.218088888
0.219081963,0.219088814
0.220080648,0.220088796
0.221082574,0.221088907
0.2220805,0.222088833
0.223082463,0.223089037
0.224081074,0.224088925
0.225082129,0.225088851
0.226080388,0.226088648
0.227081055,0.227088907
0.228082574,0.228088722
0.229082444,0.229088888
0.230080314,0.230088907
0.2310825,0.231089148
0.23208087,0.232088981
0.233082037,0.233088444
0.234080222,0.234088703
0.235082759,0.235088777
0.236080814,0.236088759
0.237082463,0.237088703
0.238080574,0.238088962
0.239082296,0.239088685
0.240081259,0.240088796
0.241082463,0.241088925
0.242080907,0.242089111
0.243082203,0.243088925
0.244080518,0.244088925
0.24508274,0.245088703
0.246080796,0.246088851
0.247082129,0.247088833
0.248080277,0.248088925
0.249082463,0.24908887
0.250080648,0.250088759
0.251083111,0.251088833
0.252080963,0.252088814
0.25308224,0.253088944
0.254080574,0.254089037
0.255082,0.255088999
0.256080592,0.256088999
0.257082666,0.257089185
0.258081777,0.258089037
0.259082481,0.259088962
0.260080611,0.260088944
0.261081814,0.261088962
0.262080814,0.262088907
0.263082092,0.263088648
0.264080314,0.264089111
0.2650825,0.265089055
0.266080277,0.266089037
0.267082314,0.267089055
0.268080592,0.268088796
0.269082037,0.269088851
0.270080833,0.27008874
0.271082074,0.271088777
0.272080388,0.272089018
0.273082166,0.273088833
0.274080537,0.274088777
0.275082166,0.275088962
0.276080407,0.276088814
0.277081981,0.277088907
0.278080629,0.278088962
0.279081685,0.279088759
0.280079963,0.280088685
0.28108187,0.281089074
0.282080463,0.282088777
0.283081814,0.283088925
0.284080685,0.284088999
0.285082148,0.285089055
0.286080185,0.286088962
0.287082296,0.287089166
0.288080259,0.288089203
0.289082018,0.289089018
0.2900805,0.290089092
0.291083074,0.291088999
0.292080925,0.292088777
0.293082648,0.293088833
0.294080629,0.294088944
0.295082111,0.295088925
0.296080722,0.296094333
0.297082351,0.297092499
0.298084685,0.298090796
0.299090351,0.299091259
0.300085425,0.300090296
0.301085944,0.301090111
0.302085833,0.302091814
0.303082185,0.30309187
0.304085333,0.304089314
0.305085462,0.305089685
0.306084685,0.306089944
0.307082685,0.307089351
0.308079944,0.308088648
0.309084092,0.309089092
0.310080962,0.310088851
0.311082425,0.311089314
0.31208024,0.312088685
0.313083259,0.31308937
0.314083481,0.314088888
0.315083129,0.315088851
0.316081907,0.316089018
0.317082,0.317089185
0.318082777,0.318088981
0.319080222,0.319088685
0.320081962,0.320088999
0.321079925,0.321088999
0.322082222,0.322088833
0.323080185,0.32308874
0.32408187,0.324088944
0.325080481,0.325088999
0.326082055,0.326088796
0.327080518,0.327089222
0.32808187,0.328089055
0.329080185,0.329088759
0.330080962,0.330088907
0.331080314,0.331089074
0.332082481,0.332089203
0.333080425,0.333089166
0.334081481,0.334088777
0.335080851,0.335088796
0.336082851,0.336088999
0.337080537,0.337089036
0.338082074,0.338089999
0.339080185,0.339088444
0.340083629,0.340089074
0.34108487,0.341088851
0.342080814,0.342088999
0.34308187,0.343088925
0.344081833,0.344088944
0.345082351,0.345088962
0.34608187,0.346089148
0.347082148,0.347088129
0.348082611,0.348088759
0.349079574,0.349088962
0.350080518,0.35008874
0.351081481,0.351088907
0.352081574,0.352088814
0.353081555,0.353088851
0.354081907,0.354089036
0.355081648,0.355088814
0.356082648,0.356089018
0.357082129,0.357089036
0.358085259,0.358088925
0.359085148,0.359088907
0.360082648,0.360088796
0.361081907,0.361088629
0.362084074,0.362088851
0.363082592,0.36308887
0.364080888,0.364088592
0.365081166,0.365088962
0.366081333,0.366088611
0.367088111,0.367088814
0.368082222,0.368088814
0.369081037,0.369089092
0.370082129,0.370088462
0.371081944,0.371088759
0.372082481,0.372089036
0.373081888,0.373088685
0.374082981,0.374088611
0.375081759,0.375089036
0.376082425,0.376088648
0.377081629,0.37708887
0.378082074,0.378088814
0.379082055,0.379089073
0.380082018,0.380088962
0.381080296,0.381088722
0.382080277,0.382088611
0.383081111,0.383089648
0.384080944,0.384088685
0.38508074,0.385088907
0.386083629,0.38608887
0.387082037,0.387088981
0.388082277,0.388088592
0.389081592,0.389088944
0.390081388,0.390088833
0.391082259,0.391088944
0.392082259,0.392088833
0.393082777,0.393088814
0.394081925,0.394088925
0.395082685,0.395089092
0.396081055,0.396088759
0.397081666,0.397088981
0.398081629,0.398088981
0.399081018,0.399088888
0.400082462,0.400088981
0.401081296,0.401088999
0.40208187,0.402089055
0.403081888,0.403092629
0.404081185,0.404091722
